"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_2705927370575";21;1;2181;1;596,4;1
"id_2505925270532";19;1;1957;6;500,4;1
"id_7172971977249";18;1;1866;1;541,7;1
"id_2850928675042";11;1;1120;2;645,55;1
"id_5844958174480";21;1;2125;5;567,9;1
"id_5844958174486";11;1;1111;4;641,85;1
"id_9945599874523";32;1;3213;4;465,05;1
"id_2257922275723";37;1;3711;4;567,35;1
"id_2286922278666";20;1;2066;2;589,15;1
"id_2323923872390";22;1;2275;1;677,7;1
"id_2359923375912";13;1;1368;1;569,4;1
"id_2350923375059";22;1;2223;9;489,9;2
"id_2401924070137";22;1;2277;1;533;1
"id_2010920371061";22;1;2220;1;552,55;1
"id_2391923379132";22;1;2266;1;686,7;1
"id_2390923379073";16;1;1602;2;609,1;1
"id_2354923375451";14;1;1430;3;656,4;1
"id_2355923375586";22;1;2233;1;531,15;1
"id_2386923378633";22;1;2261;1;517,3;1
"id_2352923375216";22;1;2272;9;583,6;2
"id_2161921276143";22;1;2205;1;612,1;1
"id_2060920376074";17;1;1733;6;552,7;1
"id_2935929173579";22;1;2265;1;552,8;1
"id_2606926870650";22;1;2205;1;558,65;1
"id_4645946574521";24;1;2447;1;705,65;1
"id_2065920776558";22;1;2226;1;570,35;1
"id_2350923375056";22;1;2272;5;609;1
"id_2392923379253";22;1;2263;1;644,4;1
"id_2014920371435";22;1;2220;1;566,1;1
"id_2375923377590";22;1;2263;1;575,6;1
"id_2380923378061";22;1;2221;1;526,9;1
"id_0905909470595";22;1;2252;1;530,05;1
"id_2434924673447";22;1;2255;9;534,75;2
"id_2512925571270";13;1;1380;2;633,7;1
"id_2396923479671";14;1;1401;2;599,95;1
"id_2375923877505";18;1;1840;1;595,4;1
"id_2068920276807";22;1;2277;1;522,7;1
"id_2164921276433";22;1;2255;9;497,85;2
"id_8637986073784";15;1;1571;5;645,6;1
"id_0789907978977";22;1;2257;1;691,85;1
"id_4668946376812";22;1;2226;2;553,7;1
"id_2431924673148";11;1;1162;1;640,55;1
"id_2455924375586";22;1;2275;1;535,1;1
"id_3732937273283";22;1;2221;2;688,8;1
"id_2126921272646";22;1;2275;1;536;1
"id_2385923378548";22;1;2280;1;517,9;1
"id_2385923378501";22;1;2261;4;460,3;1
"id_2418924671844";22;1;2256;1;611,3;1
"id_2390923379074";22;1;2274;1;493,7;1
"id_2104921270456";22;1;2208;1;493,9;1
"id_2161921276103";22;1;2252;1;624,3;1
"id_2364923276420";22;1;2208;1;513,8;1
"id_2390923379006";22;1;2275;1;456,6;1
"id_2366923276662";22;1;2233;1;519,3;1
"id_2357923375746";22;1;2252;1;548,35;1
"id_2387923378705";22;1;2221;9;548,6;2
"id_2100921270097";22;1;2207;1;596,45;1
"id_2390923379065";22;1;2270;1;549,25;1
"id_2387923378779";22;1;2276;1;540,2;1
"id_2396923379641";22;1;2270;9;533,1;2
"id_2140921274034";22;1;2227;2;495,55;1
"id_2378923377826";22;1;2275;1;542,8;1
"id_2378923377829";22;1;2220;1;647,95;1
"id_4681946078105";22;1;2276;1;486;1
"id_2357923375751";24;1;2401;1;519;1
"id_2161921276186";22;1;2226;1;514,9;1
"id_2388923378869";22;1;2255;9;552,1;2
"id_2354923375437";22;1;2263;1;491;1
"id_2350923375005";22;1;2258;9;592,3;2
"id_2463924176313";22;1;2265;2;548,2;1
"id_2109921270971";23;1;2325;1;536,7;1
"id_2090920579031";22;1;2221;1;541;1
"id_2126921272625";22;1;2207;1;585,5;1
"id_2398923379891";22;1;2263;1;598;1
"id_4277942677736";22;1;2208;1;556,2;1
"id_2163921276340";22;1;2220;1;593,3;1
"id_2428924272875";22;1;2274;1;565,6;1
"id_2355923375555";22;1;2276;1;570,3;1
"id_2357923375780";22;1;2265;9;502,7;2
"id_2363923276386";22;1;2265;9;546,2;2
"id_2106921270655";22;1;2262;1;491,2;1
"id_2139921273919";22;1;2270;1;466,35;1
"id_2385923378540";22;1;2226;1;555,85;1
"id_2378923377817";22;1;2277;1;644,3;1
"id_2362923276214";18;1;1869;2;522,2;1
"id_2272922677280";22;1;2263;1;549,4;1
"id_2061920176110";22;1;2223;1;614,5;1
"id_2398923379858";22;1;2275;1;567,4;1
"id_2064920776492";22;1;2231;1;494,4;1
"id_2126921272653";22;1;2252;1;526;1
"id_2350923375053";14;1;1466;1;643,55;1
"id_2139921273924";22;1;2229;9;551,55;2
"id_2354923375480";18;1;1841;1;511,3;1
"id_4669946376923";22;1;2207;2;508,3;1
"id_2528925572899";22;1;2252;1;608,25;1
"id_2011920671135";18;1;1865;1;611,4;1
"id_2375923377535";22;1;2270;9;575,35;2
"id_2388923378838";22;1;2273;1;555,9;1
"id_2381923378168";22;1;2264;1;456,85;1
"id_2161921276101";22;1;2264;3;480,5;1
"id_2399923379970";22;1;2233;1;568,15;1
"id_2102921270282";22;1;2281;1;502;1
"id_2353923375300";22;1;2221;1;531,1;1
"id_2398923379897";22;1;2221;1;601,6;1
"id_2398923379887";22;1;2277;1;603,8;1
"id_4834948873471";22;1;2257;2;570,8;1
"id_2396923979664";11;1;1145;1;737,3;1
"id_2350923375076";22;1;2221;1;549,9;1
"id_2163921276353";22;1;2275;1;514,1;1
"id_3457934475718";19;1;1950;2;721,1;1
"id_4270942677062";22;1;2252;1;610,15;1
"id_2387923378754";22;1;2231;1;476,2;1
"id_2384923378451";22;1;2258;2;571,15;1
"id_3895938979549";22;1;2207;1;530,05;1
"id_2685926278563";22;1;2270;1;567,9;1
"id_2463924576395";22;1;2233;1;517,85;1
"id_5013950771307";22;1;2272;1;539,3;1
"id_2360923276007";22;1;2261;1;519,7;1
"id_1364913976482";18;1;1862;1;632,5;1
"id_2544925574449";22;1;2265;1;501,3;1
"id_3477934477737";22;1;2258;1;585,4;1
"id_2382923378226";22;1;2275;1;640,6;1
"id_2103921270315";22;1;2233;1;550,9;1
"id_2395923379571";18;1;1862;2;564,7;1
"id_2380923378003";22;1;2278;1;526;1
"id_2363923276309";22;1;2257;2;547,5;1
"id_2387923378736";14;1;1430;2;678,2;1
"id_4665946376570";22;1;2252;1;616,9;1
"id_2360923276015";22;1;2221;9;560,6;2
"id_2136921273621";22;1;2221;2;489,8;1
"id_2120921272030";22;1;2233;4;509,85;1
"id_2259922875942";22;1;2273;1;554,7;1
"id_2353923375334";22;1;2274;1;590,9;1
"id_2361923276102";22;1;2263;2;479,1;1
"id_2395923379546";22;1;2258;9;601,55;2
"id_2378923377844";22;1;2233;1;464,65;1
"id_2389923378961";22;1;2221;1;604,8;1
"id_2354923375432";22;1;2208;1;542,1;1
"id_2384923378483";22;1;2293;9;533,5;2
"id_2385923378549";22;1;2263;1;545,9;1
"id_2128921272847";22;1;2275;1;521,4;1
"id_2390923379051";22;1;2207;1;515,65;1
"id_2351923375181";22;1;2275;1;627,2;1
"id_2130921273054";24;1;2403;2;602,8;1
"id_2105921270522";22;1;2277;1;647,6;1
"id_2382923378204";24;1;2447;3;716,1;1
"id_2146921274652";22;1;2279;1;511,3;1
"id_2377923377771";22;1;2277;1;577;1
"id_2139921273993";22;1;2261;2;508,1;1
"id_2169921276957";24;1;2447;1;715,1;1
"id_2394923879467";19;1;1952;3;594,7;1
"id_2350923375061";22;1;2221;1;589,8;1
"id_2241922174138";22;1;2221;1;569,1;1
"id_2399923379983";18;1;1887;1;733,5;1
"id_2169921276948";22;1;2266;1;472;1
"id_2163921276342";22;1;2207;1;607,5;1
"id_2385923378532";22;1;2252;1;693,9;1
"id_2398923179814";22;1;2221;1;524,5;1
"id_2375923377564";22;1;2231;2;485,2;1
"id_2105921270556";22;1;2270;5;530,4;1
"id_2364923276461";22;1;2263;1;691,9;1
"id_3450934475018";22;1;2207;1;495,6;1
"id_2525925572536";22;1;2226;1;660,75;1
"id_6969969176969";22;1;2256;1;662,25;1
"id_2264922476427";11;1;1101;2;686;1
"id_2140921274047";19;1;1928;1;656,15;1
"id_2545925574572";22;1;2226;1;562,7;1
"id_2135921273523";22;1;2258;1;559,55;1
"id_4652946275235";24;1;2402;1;542,5;1
"id_2382923378255";22;1;2221;1;714,6;1
"id_2298922579815";22;1;2252;1;554,3;1
"id_2380923378031";22;1;2226;1;528,25;1
"id_2387923378745";22;1;2220;2;558,7;1
"id_2393923379360";22;1;2255;2;551,9;1
"id_2381923378124";22;1;2266;1;518,2;1
"id_2358923375831";22;1;2272;6;591,9;1
"id_2386923378666";22;1;2223;1;602;1
"id_2384923378493";22;1;2221;1;682,1;1
"id_2387923378769";22;1;2255;9;539,65;2
"id_4683946078392";22;1;2272;1;539,4;1
"id_2390923379002";22;1;2252;1;542,5;1
"id_2350923375021";22;1;2263;1;501,7;1
"id_3944939974410";22;1;2272;1;604,8;1
"id_2393923379393";14;1;1467;2;619,3;1
"id_2540925574098";22;1;2255;1;566,75;1
"id_2386923378663";22;1;2231;9;496,25;2
"id_2786927478690";22;1;2258;1;592,95;1
"id_2395923379564";22;1;2270;1;597,5;1
"id_2137921273773";11;1;1105;2;647,95;1
"id_4844948874477";22;1;2220;1;508,25;1
"id_2361923276158";22;1;2220;1;587,2;1
"id_2363923276346";22;1;2277;1;556,4;1
"id_7269972776923";22;1;2258;2;556,3;1
"id_2986929178619";22;1;2261;4;452,6;1
"id_2390923379000";22;1;2226;5;607,9;1
"id_2351923375129";22;1;2263;1;595,5;1
"id_2384923378435";22;1;2255;1;592,55;1
"id_2359923375936";14;1;1478;4;584,25;1
"id_2290922379042";26;1;2629;1;579,9;1
"id_2378923377887";22;1;2258;1;662,35;1
"id_3707937470711";22;1;2229;2;507,55;1
"id_0337903073711";22;1;2261;2;478,4;1
"id_2311923271142";13;1;1376;1;684,9;1
"id_2163921276301";22;1;2226;1;619,85;1
"id_2388923378813";22;1;2221;1;637,9;1
"id_2360923276088";22;1;2205;1;583,8;1
"id_2383923378357";22;1;2221;9;639,6;2
"id_2111921871148";22;1;2252;1;617,4;1
"id_2395923379527";22;1;2221;1;538,7;1
"id_2512925571232";22;1;2208;1;567,5;1
"id_4686946078611";22;1;2229;1;576,8;1
"id_2357923375732";22;1;2272;1;561,5;1
"id_2380923378011";22;1;2270;1;519,45;1
"id_2378923377805";18;1;1863;1;625,7;1
"id_2355923875544";22;1;2255;9;613,95;2
"id_0664906876494";13;1;1366;1;645,65;1
"id_2379923377907";22;1;2256;1;627,85;1
"id_2399923379962";22;1;2279;9;592,3;2
"id_2101921270183";22;1;2226;1;588,85;1
"id_2395923379532";22;1;2256;1;655,25;1
"id_2391923379193";22;1;2265;1;505;1
"id_2161921276170";22;1;2223;9;498,4;2
"id_1402914770216";22;1;2263;9;548,7;2
"id_2542925574214";22;1;2264;1;452,25;1
"id_2366923276618";22;1;2256;1;668,4;1
"id_2353923375370";22;1;2272;1;596,2;1
"id_2383923378360";22;1;2277;1;606,1;1
"id_2528925572883";22;1;2207;1;541,95;1
"id_2383923378361";22;1;2223;9;567,7;2
"id_2395923379580";22;1;2207;2;531,85;1
"id_2354923375406";22;1;2256;1;613,8;1
"id_2162921276226";22;1;2223;9;531,3;2
"id_2389923378932";22;1;2261;1;563,2;1
"id_2728927572856";22;1;2227;9;495,3;2
"id_2270922977048";22;1;2274;5;540,6;1
"id_2683926878349";22;1;2270;1;585,15;1
"id_3897938979759";22;1;2275;1;616,5;1
"id_2398923379864";22;1;2221;1;593,5;1
"id_2388923378846";22;1;2252;1;651,45;1
"id_2109921270980";22;1;2258;2;548,4;1
"id_2385923378524";22;1;2227;1;593,25;1
"id_2361923276182";22;1;2207;2;492,4;1
"id_2136921273629";22;1;2261;2;542,9;1
"id_1976919877610";22;1;2207;1;508,35;1
"id_2353923375320";22;1;2255;9;528,7;2
"id_2360923276062";22;1;2258;1;619,95;1
"id_4214942671438";22;1;2266;1;624,1;1
"id_2366923276630";22;1;2252;1;591,65;1
"id_2377923377799";22;1;2252;1;612,35;1
"id_2387923378759";22;1;2207;1;555,15;1
"id_2380923378039";22;1;2233;2;565,75;1
"id_2362923276266";22;1;2208;2;571,2;1
"id_2391923379172";22;1;2272;1;572,8;1
"id_3916939971674";22;1;2277;1;557,5;1
"id_2450924475097";22;1;2270;9;606,5;2
"id_2358923375811";22;1;2220;1;558,65;1
"id_2391923379122";22;1;2278;1;574,7;1
"id_2518925571819";22;1;2264;1;508,15;1
"id_2788927378806";22;1;2277;1;694,1;1
"id_2390923379041";22;1;2272;1;516;1
"id_2387923378796";22;1;2233;1;570,45;1
"id_8364983776420";14;1;1430;1;670,8;1
"id_2781927378145";22;1;2275;1;597,8;1
