"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_3912939671243";13;1;1377;5;675,9;1
"id_2327923572739";34;1;3451;1;656,75;1
"id_3851938075194";12;1;1208;1;681,6;1
"id_2173921177394";25;1;2544;1;562,7;1
"id_3941939074152";34;1;3406;3;636,35;1
"id_4210942671013";22;1;2223;1;538,85;1
"id_2393923479357";12;1;1213;1;662,9;1
"id_2478924677891";18;1;1868;1;547,4;1
"id_2429924772939";36;1;3660;3;514,9;1
"id_4617946771749";11;1;1105;1;629,25;1
"id_2641926174104";14;1;1431;2;616,4;1
"id_2272922277216";37;1;3714;3;475,4;1
"id_1779917677937";25;1;2551;2;540,8;1
"id_2638926373895";17;1;1710;3;521;1
"id_2607926070782";16;1;1653;2;620,4;1
"id_2055920975517";12;1;1206;1;665,65;1
"id_2250922475073";16;1;1670;1;651;1
"id_3593935579399";36;1;3660;1;518,2;1
"id_3853938775321";11;1;1145;1;737,3;1
"id_5104551570454";11;1;1178;4;679,86;1
"id_2181921078109";12;1;1220;1;682,2;1
"id_9439594073901";18;1;1886;2;552,3;1
"id_2364923576418";35;1;3521;5;501,1;1
"id_8661986076108";23;1;2325;1;531;1
"id_3955939775548";18;1;1865;1;573;1
"id_8633986673398";19;1;1962;5;554,4;1
"id_2202922870258";30;1;3068;1;605,3;1
"id_2978929077865";11;1;1184;1;674,44;1
"id_3527935872700";13;1;1381;3;682,7;1
"id_3954939775449";12;1;1209;1;692,45;1
"id_2004920070461";15;1;1506;1;701,9;1
"id_3839938573990";20;1;2076;1;641,9;1
"id_3952939775229";24;1;2449;1;464,9;1
"id_3940939374022";11;1;1121;1;633,8;1
"id_2652926075252";13;1;1379;1;656,75;1
"id_9566595676631";11;1;1183;2;762,7;1
"id_2434924173446";16;1;1634;4;626,5;1
"id_2026920072674";26;1;2647;1;565,7;1
"id_2413924371343";12;1;1206;1;680,55;1
"id_8814988771424";19;1;1924;1;585,85;1
"id_3864938176432";21;1;2142;1;558,1;1
"id_4239942573901";13;1;1319;1;669,2;1
"id_3807938870747";21;1;2136;1;559,43;1
"id_9193591179394";16;1;1642;1;663,71;1
"id_3869938976960";18;1;1855;2;507,5;1
"id_2309923370914";29;1;2982;1;538,05;1
"id_3979939777972";18;1;1839;2;564,6;1
"id_1817918671768";26;1;2680;5;545,25;1
"id_2033920073339";23;1;2362;1;534,1;1
"id_3890938279062";13;1;1386;1;742,45;1
"id_4685946078571";22;1;2272;9;504,5;2
"id_2403924970372";19;1;1951;3;575,6;1
"id_9857598875701";19;1;1927;1;550,75;1
"id_2807928870776";11;1;1190;3;662,9;1
"id_3454934475498";15;1;1502;2;645,7;1
"id_7981979478189";14;1;1474;1;608,2;1
"id_3826938272647";17;1;1709;1;605,1;1
"id_2637926773777";21;1;2131;5;571,15;1
"id_3802938170258";17;1;1708;3;528;1
"id_9939599473982";11;1;1122;4;662,06;1
"id_2627926572767";23;1;2371;2;475,3;1
"id_3897938779766";27;1;2721;1;463,05;1
"id_3800938170086";23;1;2368;6;520,05;1
"id_3909939870903";15;1;1503;2;644,1;1
"id_2362923476294";15;1;1537;1;522,25;1
"id_2362923476263";26;1;2627;3;511,1;1
"id_3743937574394";21;1;2146;1;569,35;1
"id_5885958778563";25;1;2567;1;589,4;1
"id_3812938671266";26;1;2632;3;575,9;1
"id_2020920272044";23;1;2316;2;583,4;1
"id_3557935375777";12;1;1203;1;704,15;1
"id_3916939971658";22;1;2207;1;452,4;1
"id_2302923670287";20;1;2071;2;601,5;1
"id_9187591778700";11;1;1140;4;670,4;1
"id_4903949570361";35;1;3521;1;536,9;1
"id_2644926574492";18;1;1854;2;625,3;1
"id_3847938674752";18;1;1881;1;514,6;1
"id_3807938270703";32;1;3244;1;579,05;1
"id_2316923871668";18;1;1867;1;570,9;3
"id_4905949270559";29;1;2982;4;529,1;1
"id_3145931874522";12;1;1217;1;742,7;1
"id_3825938772590";13;1;1331;7;563,2;1
"id_2059920375965";17;1;1733;1;680,2;1
"id_2317923571718";16;1;1630;3;643;1
"id_3770937177060";13;1;1324;3;655,55;1
"id_3174931877422";16;1;1609;1;663,6;1
"id_7081970678166";16;1;1692;1;661,2;1
"id_4932949473281";29;1;2976;1;603,8;1
"id_3411934971196";24;1;2402;1;487,3;1
"id_2513925071314";15;1;1551;3;533,7;1
"id_0764907876442";26;1;2699;9;536;2
"id_9381593778196";12;1;1296;1;538,07;1
"id_3836938073658";12;1;1217;1;713,4;1
"id_2574925077430";15;1;1551;1;484,25;1
"id_2077920277714";15;1;1564;1;564,9;1
"id_2363923276365";22;1;2264;3;462,25;1
"id_2702927270245";12;1;1239;1;783,2;1
"id_3883938778387";19;1;1924;5;592,95;1
"id_3546935174676";19;1;1964;2;548,4;1
"id_3111931871159";22;1;2277;1;693,8;1
"id_34543848797";17;1;1729;1;659,27;1
"id_2059920975950";26;1;2655;6;552,85;1
"id_2214922271483";13;1;1359;2;617,6;1
"id_2665926076571";14;1;1470;4;598,6;1
"id_5660956276051";13;1;1310;1;616,95;1
"id_3847938074771";13;1;1326;2;643,25;1
"id_2353923875358";22;1;2220;5;506,2;1
"id_2179921077992";15;1;1534;4;523,7;1
"id_2103921070316";24;1;2452;4;522,4;1
"id_1743917974369";26;1;2654;8;532,8;1
"id_4554945575433";15;1;1556;1;486,25;1
"id_3859938875969";12;1;1211;2;658,85;1
"id_3521935772161";14;1;1403;1;629,3;1
"id_3119931771985";24;1;2402;2;516,7;1
"id_2623926572398";24;1;2438;1;498,3;1
"id_3977939177783";26;1;2629;2;552,4;1
"id_2312923971271";12;1;1239;1;745,63;1
"id_2112921371292";12;1;1251;3;654,4;1
"id_3781937778119";25;1;2534;5;550,35;1
"id_2466924676691";36;1;3629;2;562,8;1
"id_2298922879842";13;1;1333;2;558,25;1
"id_4096940579606";17;1;1733;1;588;1
"id_2146921774681";18;1;1855;2;523,9;1
"id_1296912879632";21;1;2141;1;562,25;1
