"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_16641469";11;1;11055;1;733,7;1;1
"id_477648782";13;1;13012;4;603,5;1;1
"id_441145410";21;1;21080;1;561,46;1;1
"id_406043055";24;1;24040;1;554,4;1;1
"id_9393943402";22;1;22029;1;589,5;2;1
"id_2073240814";16;1;16022;4;661,2;1;1
"id_6011640801";16;1;16087;5;518;1;1
"id_6149641154";11;1;11080;3;706,6;1;1
"id_0625046919";39;1;39115;1;594;1;1
"id_0625046915";16;1;16015;1;710,8;1;1
"id_1227142471";24;1;24074;1;497,6;1;1
"id_815338177538";40;1;40074;1;712,7;2;1
"id_508535072851";21;1;21045;1;567,45;1;1
"id_554805572483";12;1;12043;1;661;1;1
"id_240602473067";17;1;17034;1;697,8;1;1
"id_231502374159";32;1;32029;3;491,8;1;1
"id_028700274873";19;1;19013;4;614,25;1;1
"id_614106174419";13;1;13016;1;580,55;1;1
"id_586465873643";22;1;22020;1;517,2;2;1
"id_599765976972";12;1;12035;1;672,85;1;1
"id_773367770331";26;1;26092;2;612,4;1;1
"id_415464171549";23;1;23016;1;549,1;1;1
"id_221562273150";11;1;11005;2;643,5;2;1
"id_230062372000";16;1;16058;3;642,5;1;1
"id_378363770837";33;1;33025;1;472,8;1;1
"id_684166873419";42;1;42023;2;607,3;1;1
"id_618766173870";32;1;32002;4;568,4;1;1
"id_8870988977006";36;1;36053;2;497,25;1;1
"id_8857988275761";36;1;36061;1;477,4;1;1
"id_8966989876665";15;1;15463;1;645,6;1;1
"id_8573985077328";41;1;41058;1;601;1;1
"id_8796987279672";33;1;33081;1;525,55;2;1
"id_8176981477697";18;1;18083;1;711,4;1;1
"id_8251982975175";26;1;26034;1;588,1;1;1
"id_8203982970337";11;1;11080;1;720,05;1;1
"id_8219982271987";17;1;17823;1;606,05;1;1
"id_8265982676576";37;1;37061;2;594,65;1;1
"id_8371983977142";22;1;22055;1;516,2;1;1
"id_8303983970303";41;1;41104;2;637,8;1;1
"id_8300983970072";34;1;34051;1;729,2;1;1
"id_8377983777734";16;1;16087;1;583,4;1;1
"id_8390983479091";30;1;30076;1;584,1;1;1
"id_8360983676077";41;1;41017;1;528,6;2;1
"id_8628986872889";21;1;21031;5;569,85;1;1
"id_8625986972595";33;1;33025;1;458,2;1;1
