"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_4209942770920";34;1;3460;2;603,7;1
"id_4477944677798";13;1;1391;5;703,8;1
"id_899008972907";13;1;1386;1;736,44;1
"id_6156961475632";16;1;1601;2;652,08;1
"id_4696946179637";20;1;2006;1;666,05;1
"id_0844048186";19;1;1941;1;683,33;1
"id_4631946173139";13;1;1386;1;796,25;1
"id_2918929471899";13;1;1311;5;593,2;1
"id_4357943075729";16;1;1642;5;618,92;1
"id_2855928975584";11;1;1168;1;704,9;1
"id_4010940971093";26;1;2668;1;545,4;1
"id_2919929071908";11;1;1155;1;691,8;1
"id_2816928671634";11;1;1101;1;650,8;1
"id_4492944479283";14;1;1460;1;635,4;1
"id_1322913772231";21;1;2141;1;619,5;1
"id_2923929572355";11;1;1145;1;758,4;1
"id_4649946774973";12;1;1258;1;769,2;1
"id_5136951073608";11;1;1122;1;656,31;1
"id_2927929572796";11;1;1142;4;680,3;1
"id_711007173105";21;1;2180;9;580;2
"id_0739907873908";21;1;2148;2;642;1
"id_4621946772172";17;1;1734;3;625;1
"id_0773907877361";23;1;2302;1;620,45;1
"id_4643946874329";19;1;1950;3;736,6;1
"id_1380913478027";21;1;2139;2;639,86;1
"id_2942929474261";13;1;1364;2;622,2;1
"id_4368943476825";21;1;2139;1;620,29;1
"id_4703947170351";34;1;3460;3;601,2;1
"id_9759597075920";14;1;1479;1;551,47;1
"id_4783947578331";26;1;2607;2;569,37;3
"id_1367913476798";26;1;2699;1;564,8;1
"id_4694946679429";11;1;1122;4;691,1;1
"id_1953919875326";22;1;2270;1;673,1;1
"id_4182941278260";17;1;1788;1;635,86;1
"id_7623976972325";11;1;1168;1;687,8;3
"id_4331943973157";14;1;1407;2;674,2;1
"id_1971919777162";23;1;2347;1;589,17;1
"id_9752997175297";22;1;2252;1;665,08;1
"id_94249748376";26;1;2614;1;599,63;3
"id_9768597476841";12;1;1239;1;738,25;1
"id_2866928676687";12;1;1221;2;682,1;1
"id_9725597372577";11;1;1183;1;756,81;1
"id_4218942671828";22;1;2275;1;569,1;1
"id_8207982270765";23;1;2324;1;628,95;1
"id_4889948978913";23;1;2347;1;530,85;1
"id_4223942072385";23;1;2302;1;497,65;1
"id_7110971971062";23;1;2309;1;548,6;1
"id_4756947175613";23;1;2325;1;582,45;1
"id_5413954371390";23;1;2309;1;520,6;1
"id_4655946375555";18;1;1866;1;639,8;1
"id_4044940574470";26;1;2680;1;573;1
"id_2877928677716";18;1;1846;1;558,3;1
"id_4281942078196";18;1;1857;1;545,1;1
"id_1312913471299";24;1;2445;1;634,1;3
"id_4845948574535";18;1;1839;1;570,1;1
"id_2978929777809";27;1;2729;1;513,7;1
"id_7917979371778";27;1;2740;1;582,9;1
"id_4370943077042";18;1;1884;1;547,6;3
"id_2702927070238";25;1;2563;1;598,75;1
"id_4003940570396";12;1;1246;1;667,5;1
"id_4823948172352";36;1;3612;8;537,5;1
"id_9698996679803";24;1;2451;1;614,5;1
"id_4601946170149";14;1;1438;1;674,95;1
"id_2986929578641";19;1;1920;3;717,25;1
"id_7615976671514";19;1;1945;2;673,5;1
"id_2975929177526";19;1;1964;1;606,85;1
"id_2882928078231";19;1;1922;1;735,9;1
"id_2795927879557";19;1;1976;1;675,25;3
"id_4317943771725";14;1;1408;1;626,25;1
"id_2776927777628";12;1;1220;2;654,4;1
"id_4800948670093";26;1;2614;1;540,9;1
"id_7164971576422";19;1;1972;1;551,65;1
"id_4350943475087";19;1;1977;5;520;1
"id_7989979678916";26;1;2695;1;573,7;1
"id_4697946479778";19;1;1965;2;605;3
"id_7326973272601";14;1;1412;1;725,9;1
"id_2585925878566";19;1;1976;2;702,3;3
"id_4069940776905";14;1;1403;1;646,2;1
"id_4099940779931";14;1;1468;2;581,25;1
"id_4424944672470";29;1;2949;1;559,76;1
"id_1772917177240";19;1;1962;4;535,9;1
"id_1776917177661";35;1;3515;1;635,78;1
