"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_3811938071181";12;1;1259;1;651,18;1
"id_2329923272957";36;1;3653;1;543,4;1
"id_3733937473391";17;1;1729;1;583,2;1
"id_3406934470621";14;1;1439;2;643,6;1
"id_2279922177942";30;1;3086;2;539,9;1
"id_2476924777620";17;1;1765;1;514,5;1
"id_2620926272078";37;1;3729;3;506,8;1
"id_2851928975114";36;1;3650;7;543,5;1
"id_3404934670453";26;1;2650;3;592;1
"id_3206932170625";30;1;3077;1;809;1
"id_2312923471291";26;1;2682;3;586,9;1
"id_2021920972198";25;1;2525;6;524,15;1
"id_3943939974323";24;1;2438;2;474,2;1
"id_2511925171158";18;1;1841;1;513,4;1
"id_2950929975042";32;1;3218;1;586,5;1
"id_9456594075697";19;1;1977;1;564,86;1
"id_4545945574589";13;1;1325;1;572,5;1
"id_3225932472561";17;1;1754;2;544;1
"id_3855938675587";22;1;2265;2;538;1
"id_3420934672035";11;1;1101;1;655,1;1
"id_8798987379854";14;1;1476;1;585,35;1
"id_3546935174628";23;1;2365;2;510,85;1
"id_3157931675758";18;1;1840;2;540,8;1
"id_0795907879524";24;1;2447;1;731,55;1
"id_3316933771629";24;1;2401;5;508;1
"id_3427934972778";11;1;1178;1;713,2;1
"id_2687926078790";37;1;3719;1;535,3;1
"id_2398923379850";22;1;2282;3;500,1;1
"id_3802938170258";21;1;2146;9;535,8;2
"id_3166931576685";22;1;2295;9;501,5;2
"id_3940939574058";17;1;1737;1;569,3;1
"id_2070920977008";30;1;3026;1;746,6;1
"id_2000920070005";26;1;2609;6;520,5;1
"id_8874588077481";16;1;1648;8;663,25;1
"id_9065590276509";19;1;1994;2;621,71;1
"id_0715907871584";13;1;1380;1;593,13;1
"id_4479944977946";14;1;1418;4;589,05;1
"id_4077940977722";18;1;1871;2;512,2;3
"id_3534935073402";16;1;1641;1;685;1
"id_3944939974481";23;1;2313;1;497,3;1
"id_2762927676226";36;1;3652;2;575,3;1
"id_3147931974726";11;1;1120;2;615,15;1
"id_8688586878862";22;1;2271;1;635,67;1
"id_3164931476460";15;1;1552;2;508,15;1
"id_3298932879801";12;1;1228;1;664,3;1
"id_3164931776459";15;1;1532;4;539,4;1
"id_2658926175820";15;1;1562;2;536,9;1
"id_2426924472644";26;1;2693;3;627,2;1
"id_3282932878225";35;1;3516;2;551,8;1
"id_2438924473864";12;1;1211;1;719,35;1
"id_3832938973296";18;1;1866;2;528,3;1
"id_2682926978270";17;1;1729;4;574;1
"id_3809938070914";11;1;1170;2;688,15;1
"id_3193931879377";16;1;1655;3;648,8;1
"id_3055930675541";13;1;1364;3;598,75;1
"id_5128551972820";25;1;2521;1;601,4;1
"id_2250922275021";11;1;1165;2;655,65;1
"id_2644926174405";12;1;1228;3;679,6;1
"id_5127551472788";11;1;1105;1;664,07;1
"id_2693926979316";20;1;2096;1;623,2;1
"id_4742947274265";11;1;1111;1;629,25;1
"id_2385923278522";15;1;1556;5;510,85;3
"id_3908939170813";19;1;1910;6;583,55;1
"id_3977939777784";24;1;2459;3;465,8;1
"id_3265932676518";11;1;1190;3;654,6;1
"id_3832938273259";11;1;1125;4;602,45;1
"id_2630926473033";12;1;1239;1;755;1
"id_3223932472353";18;1;1867;3;620,71;1
"id_4682946078247";22;1;2264;2;514,8;1
"id_3756937575630";34;1;3465;1;574,85;1
"id_3960939976024";14;1;1440;3;668,13;1
"id_3436934873683";18;1;1866;1;540,8;3
"id_3811938571192";19;1;1926;2;591,5;1
"id_4764947276424";30;1;3044;1;551,85;1
"id_8908989570815";17;1;1709;1;642,5;1
"id_3169931876996";14;1;1435;1;641,2;1
"id_3141931874127";13;1;1358;1;638;1
"id_2487924578746";20;1;2071;3;597,5;1
"id_3963939976306";37;1;3711;2;542,35;1
"id_0954909775455";17;1;1730;4;492,65;1
"id_4239942573901";18;1;1887;3;730,3;1
"id_3532935673297";17;1;1700;1;560,5;1
"id_3374933577485";24;1;2460;9;516,8;2
"id_3185931878583";37;1;3746;2;512;1
"id_664866673487";13;1;1331;4;586,75;1
"id_4253942175356";12;1;1209;1;640,4;1
"id_8661986076108";23;1;2325;1;542,65;1
"id_2337923073722";11;1;1168;4;668,5;1
"id_3595935879590";15;1;1511;1;696,6;1
"id_3525935572568";15;1;1563;1;523,8;1
"id_3137931473712";29;1;2973;4;548,3;1
"id_3739937473966";30;1;3085;2;589,7;1
"id_2079920277931";21;1;2104;1;466,3;1
"id_3979939777972";24;1;2440;2;568,4;1
"id_2179921077992";26;1;2662;4;543;1
"id_3174931777483";18;1;1868;1;502,5;1
"id_7670976477023";13;1;1365;2;558,15;1
"id_3527935172710";18;1;1865;1;531,4;1
"id_3815938671530";24;1;2438;1;480,5;1
"id_2295922979578";11;1;1180;4;682,81;1
"id_3396933479631";14;1;1465;1;638,35;1
"id_2126921772679";18;1;1866;2;566,2;1
"id_2886928378646";21;1;2139;5;569,45;1
"id_3124931872462";11;1;1161;1;766,7;1
"id_3702937970259";16;1;1604;2;703,5;1
"id_3447934374763";22;1;2252;3;615,05;1
"id_3187931778769";23;1;2347;1;512,8;3
"id_1819918171902";21;1;2131;4;571,5;1
