"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_8149851";42;1;42002;4;656,9;1;1
"id_41944917";16;1;16005;1;707,5;1;1
"id_469746648";21;1;21081;1;542,29;1;1
"id_427245232";16;1;16048;5;639,6;1;1
"id_444042447";24;1;24011;1;590,6;1;1
"id_456949560";26;1;26094;2;583,67;1;1
"id_476646736";13;1;13067;1;705,9;1;1
"id_3840348774";39;1;39115;2;574,86;1;1
"id_0625046919";16;1;16013;1;636,6;2;1
"id_9022940557";16;1;16011;1;633,4;1;1
"id_6322643845";21;1;21047;1;548,64;1;1
"id_1323143951";15;1;15271;2;663;1;1
"id_822938270290";13;1;13058;1;631,2;2;1
"id_332833372283";41;1;41040;11;589,4;1;2
"id_013230170328";19;1;19045;1;684;1;1
"id_563905672390";24;1;24079;1;585,4;1;3
"id_162901677294";11;1;11520;1;629,75;1;1
"id_413104170318";18;1;18056;1;502,3;1;1
"id_614106174419";13;1;13013;1;585,6;2;1
"id_660806673089";17;1;17077;1;648,6;1;1
"id_884068874404";25;1;25044;1;617,35;1;1
"id_866968676697";20;1;20081;1;684,4;1;1
"id_918869175887";22;1;22004;1;595,7;1;1
"id_174861774481";11;1;11016;1;697,4;1;1
"id_221562273150";45;1;45020;5;642,7;2;1
"id_206962077696";20;1;20076;1;733,6;2;1
"id_399763977970";26;1;26066;1;604,55;1;1
"id_697666979765";16;1;16082;1;662,5;1;1
"id_605066077508";16;1;16030;4;650,4;1;1
"id_8842988974249";18;1;18082;1;582,2;1;1
"id_8810988071066";11;1;11055;1;703,2;2;1
"id_8883988678320";21;1;21015;1;569,1;1;1
"id_8515985971543";36;1;36050;1;556,4;1;1
"id_8573985277331";41;1;41044;1;472,9;1;1
"id_8761987176190";16;1;16011;7;649,6;1;1
"id_8711987471118";15;1;15545;11;504,4;1;2
"id_8712987071226";19;1;19069;1;638,95;1;1
"id_8133981773324";43;1;43025;4;636,6;1;2
"id_8156981075684";21;1;21075;1;651,7;2;1
"id_8435984473573";40;1;40061;3;578,55;1;1
"id_8462984476275";12;1;12024;1;686,85;1;1
"id_8220982872017";16;1;16067;1;610,25;1;1
"id_8252982975209";41;1;41116;1;681,3;1;1
"id_8298982179854";19;1;19069;1;562,2;1;1
"id_8219982271987";32;1;32003;3;591,1;2;3
"id_8223982672324";27;1;27020;1;591,3;2;1
"id_8363983376354";22;1;22004;1;503,2;1;1
"id_8023980572380";13;1;13094;2;503,5;1;1
"id_8078980777838";16;1;16082;1;577,6;1;1
"id_8613986771326";33;1;33033;2;687,25;1;2
"id_8609986470931";22;1;22007;1;635,4;1;1
"id_8659986675950";43;1;43032;2;733,5;1;1
"id_9991999579167";18;1;18039;1;508,1;1;1
"id_9950999675025";21;1;21096;6;515;2;1
"id_9798997179879";12;1;12005;1;637,5;1;1
"id_9715997671591";41;1;41032;1;658;2;1
"id_9169991376914";16;1;16003;2;699,2;1;1
"id_9421994772123";13;1;13077;1;673,45;1;1
"id_9489994378905";36;1;36053;2;542,25;1;1
"id_9281992978106";22;1;22020;1;647,4;1;1
"id_9354993575478";16;1;16089;1;611,3;1;1
"id_9364993676481";30;1;30023;1;579,95;1;1
"id_9040990874089";32;1;32163;4;544,9;1;2
"id_9636996773620";18;1;18080;1;558,2;1;1
"id_9658996675827";26;1;26039;3;515,4;1;1
"id_5849958874932";41;1;41107;1;713,4;1;1
"id_5851958075194";19;1;19013;1;593;2;1
"id_5812958071271";11;1;11055;1;715,05;1;1
"id_5975959577535";38;1;38006;1;599;1;1
"id_5962959576217";16;1;16049;1;711,8;1;1
"id_5998959179827";19;1;19093;2;624,55;1;1
"id_5120951172098";25;1;25061;1;640,4;1;1
"id_5485954778510";15;1;15538;1;589,1;1;1
"id_5205952870532";22;1;22066;3;488,9;1;1
"id_5201952970138";27;1;27040;1;558,8;1;1
"id_5285952178565";45;1;45008;1;558,4;2;1
"id_5244952174425";21;1;21043;3;614,95;1;1
"id_5217952471758";21;1;21012;3;586,5;1;1
"id_5375953177534";37;1;37011;1;509,55;1;1
"id_5330953373039";38;1;38285;2;570,5;1;1
"id_5043950774324";22;1;22095;2;512,4;1;1
"id_5009950770960";16;1;16060;3;686;1;1
"id_5023950272312";13;1;13018;1;648,55;1;1
"id_5033950373368";34;1;34048;1;568,2;1;1
"id_5627956872768";16;1;16082;1;579,55;1;1
"id_5610956671010";17;1;17079;1;543,1;1;1
"id_7869978776953";13;1;13063;1;591,45;1;1
"id_7828978272863";11;1;11022;1;652,1;1;1
"id_7807978370749";40;1;40040;1;580,4;2;1
"id_7832978073240";35;1;35054;2;544,8;1;1
"id_7816978671638";16;1;16099;1;696,7;1;1
"id_7905979470572";12;1;12097;1;610,8;1;1
"id_7912979071291";44;1;44022;1;703,8;2;1
"id_7961979676148";11;1;11055;1;749,8;1;1
"id_7554975075431";35;1;35019;1;630,2;1;3
"id_7787977778776";24;1;24085;1;592,75;1;1
"id_7723977272374";14;1;14013;2;582;1;1
"id_7709977670907";15;1;15512;1;533,8;1;1
"id_7172971977249";24;1;24089;1;580,2;1;1
"id_7148971974826";23;1;23029;1;510,9;1;1
"id_7149971974907";24;1;24040;2;574,1;1;1
"id_7124971572450";14;1;14008;1;583,4;1;1
"id_7176971477600";11;1;11035;4;637,1;1;1
"id_7109971670955";11;1;11521;3;609,35;1;1
"id_7160971676041";12;1;12017;2;707,85;1;1
"id_7400974870064";29;1;29030;1;668,4;1;1
"id_7482974978227";41;1;41104;1;579,4;2;1
"id_7408974570859";33;1;33053;1;740,15;1;1
"id_7476974177630";19;1;19045;1;639;1;1
"id_7479974077992";30;1;30002;2;503,5;2;1
"id_7210972871097";12;1;12034;4;648,45;1;1
"id_7251972775117";34;1;34059;2;554,15;1;1
"id_7242972774292";11;1;11022;1;643,8;1;1
"id_7235972773537";22;1;22007;1;561,2;1;1
"id_7206972770604";22;1;22023;1;605,3;1;1
"id_7291972179147";18;1;18094;1;568,6;1;1
"id_7293972179318";23;1;23016;1;600,3;1;1
"id_7217972171764";21;1;21002;2;494,2;1;1
"id_7201972270127";11;1;11062;4;639;1;1
"id_7257972075772";22;1;22106;1;483,6;1;1
"id_7277972077746";20;1;20061;1;585,45;1;1
"id_7272972077267";21;1;21043;1;585,6;1;1
"id_7247972674790";21;1;21012;2;530,15;1;1
"id_7315973771582";26;1;26053;1;612,8;1;1
"id_7314973771424";32;1;32028;5;526,8;1;1
"id_7309973770982";32;1;32005;2;605,7;1;1
"id_7360973476004";27;1;27040;1;630,6;1;1
"id_7390973279026";18;1;18086;3;532,2;1;1
"id_7331973273101";15;1;15446;1;617;1;1
"id_7329973072965";42;1;42002;2;683,8;1;1
"id_7333973073377";25;1;25002;1;579,2;2;1
"id_7365973676546";41;1;41116;1;505,4;1;1
"id_7079970777999";17;1;17009;1;593,15;2;1
"id_7069970176937";30;1;30058;1;646,6;1;1
"id_7001970470112";35;1;35053;1;679,05;1;1
"id_7025970372576";19;1;19026;2;605,55;1;1
"id_7034970373465";19;1;19037;1;580,5;1;1
"id_7089970078955";14;1;14014;1;627,95;1;1
"id_7087970078710";14;1;14002;1;640,7;1;1
"id_7095970679549";19;1;19040;3;776,4;1;1
"id_7678976877853";22;1;22065;1;503,05;1;1
"id_7663976976334";29;1;29080;2;542,9;1;2
"id_7666976176639";11;1;11040;3;660,5;1;1
"id_7693976379341";32;1;32162;1;539,9;1;1
"id_7601976070136";14;1;14008;1;589,7;1;1
"id_7686976678699";19;1;19078;1;607;1;1
"id_7619976671943";14;1;14073;4;501,3;1;1
"id_7633976673303";26;1;26068;2;446,3;1;1
"id_7605976670551";15;1;15443;1;607,2;1;1
"id_1884918878401";41;1;41061;1;635,4;1;1
"id_1824918872439";17;1;17082;2;637,25;2;1
"id_1827918972782";36;1;36053;6;479,35;1;1
"id_1869918776932";32;1;32011;1;557,95;1;1
"id_1877918177741";17;1;17040;1;534,5;1;1
"id_1871918277154";15;1;15535;1;555;1;1
"id_1804918270476";29;1;29063;1;573;1;1
"id_1803918270306";30;1;30039;1;579,95;2;1
"id_1804918670452";18;1;18064;1;612,8;1;1
"id_1954919975439";18;1;18066;1;587,6;1;1
"id_1993919779323";11;1;11037;1;666,3;1;1
"id_1955919775513";14;1;14076;1;567,55;1;1
"id_1907919170749";21;1;21002;2;551,7;1;1
"id_1997919279779";44;1;44008;1;708,3;2;3
"id_1925919372510";36;1;36050;3;562,8;1;1
"id_1959919075995";45;1;45025;2;561,15;2;3
"id_1986919678651";11;1;11063;2;664,05;2;1
"id_1965919676580";34;1;34038;5;592,25;1;1
"id_1533915273335";29;1;29068;1;503,7;1;1
"id_1558915375854";36;1;36010;1;610,9;1;1
"id_1550915375046";13;1;13083;5;627,2;1;1
"id_1719917571909";22;1;22071;1;558,3;1;1
"id_1787917778722";36;1;36001;1;647,3;1;1
"id_1787917178749";19;1;19052;1;624,3;1;1
"id_1752917475292";20;1;20022;1;678,1;1;1
"id_1714917471493";13;1;13059;1;660,05;1;1
"id_1745917074563";25;1;25004;1;602,6;2;1
"id_1188911578849";41;1;41086;1;666,6;1;1
"id_1180911178023";19;1;19044;4;584,4;1;1
"id_1167911176712";30;1;30000;4;513,7;1;1
"id_1458914475859";40;1;40050;2;564;1;1
"id_1443914474363";12;1;12024;1;708,2;1;1
"id_1440914474080";26;1;26005;1;537,3;1;1
"id_1405914470542";11;1;11072;1;638,3;1;1
"id_1439914273991";35;1;35033;1;605,1;1;1
"id_1461914276119";19;1;19069;1;626,15;1;1
"id_1227912972771";21;1;21024;1;528,8;1;1
"id_1245912574522";29;1;29078;2;516,5;2;1
"id_1200912570072";41;1;41034;1;526,8;1;1
"id_1214912171418";11;1;11005;3;622,75;1;1
"id_1244912174441";45;1;45036;4;567,5;1;1
"id_1268912176887";16;1;16080;2;586,5;1;1
"id_1262912176293";39;1;39110;10;546,56;1;1
"id_1250912475024";12;1;12028;2;641,05;1;1
"id_1289912278948";21;1;21030;2;559,5;1;1
"id_1287912278795";17;1;17014;1;659,25;1;1
"id_1257912275702";12;1;12021;1;721,9;2;1
"id_1241912274115";34;1;34023;1;678,3;2;1
"id_1229912272910";23;1;23070;11;543,3;1;2
"id_1224912272404";13;1;13015;1;709,5;1;1
"id_1222912272248";15;1;15171;2;631,2;1;1
"id_1238912273894";38;1;38032;3;600,3;1;1
"id_1206912270634";42;1;42002;2;640,9;1;1
"id_1288912378845";39;1;39104;11;667,85;2;2
"id_1282912378266";42;1;42001;3;689;1;1
"id_1280912378007";44;1;44008;1;668,3;1;1
"id_1294912379429";42;1;42002;3;703,1;1;1
"id_1294912379436";43;1;43012;1;690;2;1
"id_1258912375841";43;1;43013;1;664,5;1;1
"id_1255912375509";11;1;11055;1;754,7;1;1
"id_1227912372768";42;1;42003;2;660;1;1
"id_1236912373634";11;1;11070;1;689,8;1;1
"id_1201912370194";16;1;16005;2;722,4;1;1
"id_1289912078928";41;1;41060;4;719,75;1;1
"id_1281912078164";12;1;12027;1;750,8;1;1
"id_1258912075832";13;1;13080;1;626;1;1
"id_1213912071362";22;1;22029;6;604;1;1
"id_1245912074519";41;1;41022;5;520,4;1;1
"id_1222912072251";41;1;41004;11;513,5;1;2
"id_1231912073144";22;1;22075;1;591;1;1
"id_1205912070560";39;1;39119;1;643,25;1;1
"id_1293912679330";41;1;41060;1;606,35;1;1
"id_1251912675124";16;1;16092;4;717,75;1;1
"id_1271912677150";19;1;19090;1;698,3;1;1
"id_1239912673955";23;1;23070;1;512,9;1;1
"id_1200912670043";41;1;41071;1;553,5;1;1
"id_1263912676399";35;1;35004;3;618,8;2;1
"id_1387913878722";36;1;36029;1;619,8;2;1
"id_1392913879227";44;1;44008;2;685,8;1;1
"id_1355913875553";18;1;18068;1;606,4;2;1
"id_1351913875167";41;1;41063;9;679,75;1;1
"id_1311913871106";19;1;19050;4;710,4;1;1
"id_1331913873115";39;1;39104;3;614,05;1;1
"id_1334913873430";12;1;12058;1;811,3;1;1
"id_1306913870611";11;1;11095;3;730,9;1;1
"id_1306913870630";43;1;43032;3;662;1;1
"id_1361913876149";18;1;18067;3;622,8;1;1
"id_1385913978545";11;1;11005;4;619,4;1;1
"id_1381913978192";12;1;12039;1;800,65;1;1
"id_1383913978370";12;1;12027;2;735,55;1;1
"id_1399913979929";22;1;22071;1;656,7;1;1
"id_1375913977513";39;1;39119;1;574,35;1;1
"id_1371913977109";43;1;43025;1;649;2;1
"id_1319913971908";41;1;41060;1;660,05;1;1
"id_1317913971732";41;1;41060;5;650,2;1;1
"id_1311913971160";41;1;41004;10;667,7;1;1
"id_1344913974473";42;1;42024;1;650,1;1;1
"id_1328913972806";13;1;13064;6;603,05;1;1
"id_1332913973213";34;1;34007;1;562,1;1;1
"id_1364913976407";29;1;29067;1;655,2;1;1
"id_1363913976376";16;1;16098;3;697,1;1;1
"id_1387913578775";14;1;14038;1;591,25;1;1
"id_1355913575534";41;1;41009;6;503,4;1;1
"id_1328913572890";22;1;22021;1;519,3;1;1
"id_1339913573980";38;1;38172;2;636,55;1;1
"id_1335913573527";16;1;16030;2;671,2;1;1
"id_1332913573278";22;1;22042;1;549,2;1;1
"id_1309913570957";23;1;23065;1;529,6;1;1
"id_1365913576516";21;1;21083;2;516,15;1;1
"id_1380913778090";25;1;25061;3;561,1;1;1
"id_1380913778029";16;1;16035;1;664,7;1;1
"id_1397913779706";41;1;41047;1;519;1;1
"id_1355913775568";12;1;12058;1;799,25;1;1
"id_1351913775142";12;1;12028;1;657,85;1;1
"id_1375913777546";24;1;24065;1;687,7;1;1
"id_1371913777140";33;1;33060;2;630,7;1;1
"id_1370913777011";24;1;24048;6;698;1;1
"id_1344913774469";44;1;44011;3;568,2;1;1
"id_1342913774261";41;1;41096;3;545,7;1;1
"id_1346913774621";11;1;11039;1;724,4;1;1
"id_1327913772773";38;1;38172;1;697,85;1;1
"id_1334913773441";16;1;16010;5;655,5;1;1
"id_1333913773329";12;1;12009;1;752,4;1;1
"id_1336913773608";17;1;17825;3;650,25;1;1
"id_1309913770993";38;1;38015;1;581,9;1;1
"id_1367913776791";20;1;20024;1;585,2;1;1
"id_1361913776112";23;1;23013;2;506,65;1;1
"id_1364913776404";19;1;19060;1;588,5;1;1
"id_1362913776274";18;1;18060;1;597,5;1;1
"id_1360913776035";40;1;40080;2;610,3;1;1
"id_1366913776625";41;1;41004;11;600,95;1;2
"id_1385913178596";39;1;39120;1;530,2;1;1
"id_1385913178540";41;1;41043;1;551,8;1;1
"id_1392913179227";22;1;22069;4;461,4;1;1
"id_1370913177036";41;1;41071;3;513,5;1;1
"id_1319913171951";42;1;42001;1;697,6;1;1
"id_1315913171518";44;1;44011;1;677,95;1;1
"id_1311913171199";43;1;43010;2;666,6;1;1
"id_1313913171336";12;1;12007;1;677,97;1;1
"id_1310913171034";41;1;41013;1;546,5;1;1
"id_1316913171682";11;1;11095;1;729,8;1;1
"id_1316913171669";41;1;41063;9;659,9;1;1
"id_1328913172864";18;1;18087;1;734,5;1;1
"id_1325913172594";39;1;39120;3;569,6;1;1
"id_1320913172084";39;1;39128;1;502;1;1
"id_1331913173116";41;1;41046;1;587,5;1;1
"id_1334913173410";29;1;29027;1;688,7;1;1
"id_1304913170422";41;1;41004;2;606,65;2;1
"id_1363913176382";42;1;42006;2;583,4;1;1
"id_1360913176085";43;1;43031;1;576,75;1;1
"id_1360913176060";12;1;12059;1;730,48;1;1
"id_1385913478590";16;1;16035;1;667,7;1;1
"id_1398913479884";23;1;23016;1;553,9;1;1
"id_1395913479549";43;1;43019;1;639,5;1;1
"id_1395913479540";39;1;39114;1;588,8;1;1
"id_1397913479753";11;1;11042;2;710,6;1;1
"id_1394913479443";41;1;41008;11;545,1;1;2
"id_1390913479034";11;1;11045;1;778,1;1;1
"id_1356913475697";21;1;21089;2;579,55;1;1
"id_1371913477120";41;1;41060;1;649,4;2;1
"id_1373913477397";41;1;41056;5;757,65;1;1
"id_1370913477058";15;1;15220;2;701,4;1;1
"id_1319913471911";44;1;44019;5;757,6;1;1
