"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_5516545677";16;1;1607;3;692,33;1
"id_815838170582";22;1;2295;1;572,4;1
"id_802008076202";22;1;2277;1;520,9;1
"id_761107676114";22;1;2295;1;475,6;1
"id_101101075112";13;1;1378;1;641,7;1
"id_160101672013";11;1;1135;2;642,85;1
"id_237202375720";16;1;1653;1;640,05;1
"id_355603579564";19;1;1943;2;652,8;1
"id_670506776059";26;1;2607;1;532,8;1
"id_603106077315";13;1;1377;1;623,1;1
"id_899668972963";37;1;3726;1;519,2;1
"id_837368371730";21;1;2102;2;598,6;1
"id_950669577068";27;1;2709;1;581;1
"id_728367278833";33;1;3325;1;549,05;1
"id_733267375320";26;1;2680;1;520,55;1
"id_736167373613";13;1;1345;1;643;1
"id_221562273150";11;1;1163;1;683,55;1
"id_375963771597";14;1;1473;1;623,75;1
"id_313963175393";22;1;2222;1;645,6;1
"id_324863273485";14;1;1430;2;657,35;1
"id_053960576395";16;1;1605;1;658,3;1
"id_079660774960";14;1;1436;1;629,75;1
"id_038360375839";18;1;1866;1;638,6;1
"id_038260377824";22;1;2270;2;590,5;2
"id_031260371121";13;1;1324;2;661,15;1
"id_8859988775967";16;1;1682;2;608,2;1
"id_8814988471416";25;1;2521;1;659,5;1
"id_8572985877272";13;1;1322;1;562,35;1
"id_8721987472119";11;1;1172;1;694,1;1
"id_8747987674737";29;1;2969;1;519,5;1
"id_8703987670327";33;1;3378;1;592,95;1
"id_8194981879484";21;1;2181;1;498,7;2
"id_8407984970734";13;1;1316;1;602,2;1
"id_8468984776851";27;1;2723;1;599,75;1
"id_8287982478775";25;1;2563;2;560,5;1
"id_8277982477716";12;1;1224;1;640,9;1
"id_8290982079033";19;1;1944;1;615,8;1
"id_8273982077397";24;1;2464;1;538,5;1
"id_8371983977142";22;1;2255;3;490,7;2
"id_8303983170321";35;1;3516;1;586,1;1
"id_8350983475086";13;1;1322;1;565,75;1
"id_8385983278513";13;1;1338;1;573,7;1
"id_8378983277876";21;1;2145;1;590,1;1
"id_8073980877369";22;1;2204;1;558,6;1
"id_8023980572380";13;1;1394;5;514,55;1
"id_8021980772181";13;1;1329;1;619,9;1
"id_8684986978410";22;1;2271;1;579;1
"id_8649986774915";37;1;3726;1;647,6;1
"id_8672986177220";13;1;1392;1;521,55;1
"id_8679986377990";11;1;1138;1;617,4;1
"id_8669986076985";25;1;2551;2;502,3;2
"id_9746997574661";16;1;1650;1;667,8;1
"id_9726997172625";22;1;2221;2;518,4;1
"id_9110991671079";13;1;1338;1;551,85;1
"id_9488994178857";37;1;3740;1;538,35;1
"id_9258992475808";22;1;2220;1;653,25;1
"id_9321993572123";18;1;1883;1;636,3;1
"id_9325993772586";19;1;1978;1;624;1
"id_9308993470851";22;1;2220;1;595,05;1
"id_9371993677186";13;1;1389;1;534,95;1
"id_9072990977265";20;1;2050;1;584,2;1
"id_9011990571146";15;1;1543;2;524,45;2
"id_9078990277893";20;1;2081;1;584,4;1
"id_9686996878600";13;1;1322;1;539,1;1
"id_9652996875270";14;1;1430;1;677;1
"id_9631996773170";18;1;1884;3;569,6;1
"id_9626996172639";16;1;1645;1;661,6;1
"id_9671996277133";13;1;1392;1;553,65;1
"id_9626996072644";15;1;1553;1;547,9;1
"id_5851958875117";29;1;2968;3;573,25;1
"id_5865958876560";22;1;2226;1;586,05;1
