"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_9565595676589";"52";52176;1;2;584,15;1;1
"id_9565595676599";"41";41036;1;2;537,1;1;1
"id_9565595676596";"16";16039;2;3;661,45;1;4
"id_9565595676551";"55";55035;1;7;527,6;1;1
"id_9565595676552";"49";49321;1;1;515,35;1;1
"id_9565595676573";"30";30076;1;1;643,8;1;1
"id_9565595676570";"11";11042;1;1;752,9;1;1
"id_9565595676546";"49";49211;1;2;547,6;1;1
"id_9565595676527";"13";13104;1;1;631,95;1;1
"id_9565595676564";"37";37022;1;11;686,7;1;2
"id_9567595676789";"32";32001;1;1;609,1;1;1
"id_9567595676795";"11";11069;1;1;716,35;1;1
"id_9567595676797";"47";47301;1;3;620,1;1;1
"id_9567595676794";"50";50112;1;1;531,35;1;1
"id_9567595676759";"36";36051;1;1;589,45;1;1
"id_9567595676755";"49";49220;1;2;553,15;1;1
"id_9567595676750";"55";55056;1;1;510,4;1;1
"id_9567595676772";"24";24060;1;1;512,6;1;1
"id_9567595676770";"19";19012;1;1;668,25;1;1
"id_9567595676712";"14";14100;1;1;521,9;1;1
"id_9567595676710";"27";27003;1;1;683,8;1;1
"id_9567595676748";"41";41106;1;3;556,6;1;1
"id_9567595676727";"35";35064;1;2;535,3;1;1
"id_9567595676730";"11";11085;2;1;683,6;1;4
"id_9567595676700";"32";32001;1;1;486,5;1;1
"id_9567595676765";"33";33078;1;1;648,55;1;1
"id_9561595676188";"48";48008;1;1;605,8;1;1
"id_9561595676185";"36";36067;1;1;672,4;1;1
"id_9561595676191";"41";41055;1;3;518;1;1
"id_9561595676196";"22";22108;1;1;532,6;1;1
"id_9561595676152";"11";11037;1;2;671,6;1;1
"id_9561595676178";"22";22021;1;1;758,2;1;1
"id_9561595676111";"17";17076;1;3;663,65;1;1
"id_9561595676148";"17";17082;1;1;669;1;1
"id_9561595676120";"14";14060;1;1;595,2;1;1
"id_9561595676164";"11";11001;2;2;645,5;1;4
"id_9564595676489";"44";44016;1;3;584,9;1;1
"id_9564595676459";"50";50924;1;2;521,65;1;1
"id_9564595676451";"43";43036;1;1;555,95;1;1
"id_9564595676453";"49";49101;1;2;593,85;1;1
"id_9564595676418";"13";13049;1;1;681,65;1;1
"id_9564595676449";"47";47101;1;1;604,25;1;1
"id_9564595676427";"13";13072;1;1;686,65;1;1
"id_9564595676426";"11";11078;1;3;758,75;1;1
"id_9564595676438";"41";41021;1;1;529,6;1;1
"id_9564595676435";"13";13049;1;1;784,15;1;1
"id_9564595676408";"35";35040;1;1;642,1;1;1
"id_9564595676404";"13";13006;1;2;544,5;1;1
"id_9564595676469";"22";22057;1;1;643,2;1;1
"id_9564595676460";"16";16034;1;2;624,25;1;1
"id_9562595676285";"29";29071;1;1;538,55;1;1
"id_9562595676293";"17";17838;1;1;636,95;1;1
"id_9562595676271";"14";14082;1;1;674,1;1;1
"id_9562595676211";"42";42002;1;2;678,3;1;1
"id_9562595676212";"14";14034;1;1;523,1;1;1
"id_9562595676213";"21";21047;1;1;536,85;1;1
"id_9562595676216";"17";17000;1;1;625,85;1;1
"id_9562595676228";"50";50802;1;1;530,3;1;1
"id_9562595676221";"34";34026;1;2;676,15;1;1
"id_9562595676224";"50";50835;1;1;625,45;1;1
"id_9562595676223";"41";41109;1;2;519;1;1
"id_9562595676208";"38";38327;1;1;597,55;1;8
"id_9562595676207";"11";11042;2;1;675,2;1;4
"id_9562595676200";"17";17076;1;1;634,1;1;1
"id_9562595676269";"14";14095;1;1;611,6;1;1
"id_9563595676399";"19";19080;1;1;547,65;1;1
"id_9563595676395";"49";49104;1;1;496,2;1;1
"id_9563595676353";"12";12060;1;1;715,05;1;1
"id_9563595676350";"13";13049;1;1;690,75;1;1
"id_9563595676372";"17";17028;3;1;910,532;1;1
"id_9563595676315";"13";13058;1;1;662,35;1;1
"id_9563595676316";"13";13006;1;2;508,3;1;1
"id_9563595676343";"14";14006;1;1;623;1;1
"id_9563595676323";"29";29020;1;2;708,7;1;1
