"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_432242327";30;1;3091;1;532,7;3
"id_7291742943";15;1;1531;5;557,14;3
"id_2720927472030";14;1;1481;1;666,15;1
"id_4672946077205";33;1;3321;1;559,15;3
"id_4647946874784";33;1;3305;1;497,2;3
"id_2808928870822";12;1;1221;1;688,7;1
"id_2816928671634";20;1;2096;4;612,45;1
"id_7194971679431";37;1;3718;1;535,7;1
"id_2236922473643";11;1;1178;3;689,9;1
"id_8896988479680";21;1;2180;2;599,07;1
"id_2937929073772";30;1;3004;1;517,6;3
"id_2862928376221";24;1;2413;9;610,83;2
"id_7075970077533";12;1;1214;1;792,57;1
"id_4691946579142";32;1;3219;4;405,9;3
"id_4025940672521";32;1;3269;1;506,1;3
"id_2535925773543";17;1;1759;1;473,15;3
"id_4035940973522";23;1;2346;4;459,55;3
"id_2870928977008";12;1;1203;1;697,53;3
"id_4786947078629";19;1;1922;1;618;3
"id_2799927279987";19;1;1931;6;577,36;1
"id_2972929277256";17;1;1753;2;595,8;1
"id_4790947779011";20;1;2023;3;578;1
"id_9754597875419";25;1;2500;1;570;1
"id_4645946674510";19;1;1945;4;632,1;1
"id_2574925777494";26;1;2638;3;493,65;3
"id_2171921377195";12;1;1217;1;699,4;1
"id_7537975473799";27;1;2703;2;465;3
"id_2861928976182";15;1;1503;3;646,35;1
"id_2864928976470";12;1;1221;1;744,85;1
"id_2865928476526";27;1;2711;9;340,9;2
"id_2953929975325";17;1;1730;1;625,55;3
"id_9181591578135";15;1;1571;2;635,93;1
"id_2892928979291";12;1;1258;1;793,9;1
"id_4788947178813";12;1;1207;1;684,02;1
"id_2822928472246";13;1;1368;3;583,8;1
"id_4619946571999";13;1;1326;2;585,95;1
"id_2736927473651";11;1;1181;2;693,55;1
"id_9491594079175";26;1;2606;3;585,63;1
"id_8068580676805";24;1;2438;1;460,83;1
"id_4783947978393";33;1;3316;1;475,2;3
"id_2937929173729";13;1;1311;1;618;1
"id_4396943379677";30;1;3071;2;465,8;3
"id_4045940574596";32;1;3261;5;501,4;3
"id_7238972473863";23;1;2324;2;475,65;3
"id_9212592271277";22;1;2217;1;531;1
"id_2918929471899";29;1;2926;6;579;3
"id_2129921272960";22;1;2221;1;627,5;1
"id_2892928379225";18;1;1855;3;526;1
"id_7509975970952";18;1;1839;1;574,5;1
"id_2445924274599";18;1;1861;1;585,1;1
"id_7056970375650";27;1;2729;3;503,2;1
"id_8655986275577";25;1;2561;1;623,6;1
"id_2951929775189";25;1;2550;9;533,8;2
"id_2578925077876";19;1;1930;1;675,4;1
"id_2472924377288";14;1;1405;1;616,85;1
"id_4801948670155";15;1;1541;3;562,5;1
"id_2795927879557";19;1;1943;4;651,45;1
"id_4356943275635";14;1;1414;2;561,5;1
"id_2138921273853";19;1;1952;6;564,9;1
"id_2599925879964";14;1;1478;6;577,95;1
"id_4770947977056";19;1;1921;3;602,5;1
"id_5636956173612";14;1;1462;4;583,25;1
"id_4937949973751";14;1;1437;1;597,85;1
"id_3511935871166";33;1;3324;2;548,8;1
"id_2921929672179";11;1;1161;1;639,45;1
"id_4399943379991";12;1;1209;4;654,2;1
"id_4991949579120";36;1;3630;3;523,7;3
"id_1786917778628";34;1;3418;1;565,55;1
"id_6203962470398";34;1;3460;1;602;1
"id_2503925670363";34;1;3462;1;554,9;1
"id_4014940371447";36;1;3612;1;492,7;3
"id_2928929472801";13;1;1324;3;666,5;1
"id_2868928876887";13;1;1339;1;610,25;1
"id_2952929475212";36;1;3611;4;574,5;1
"id_4907949370798";36;1;3601;3;601,85;1
"id_2914929471454";13;1;1313;2;614,45;3
"id_4236942173688";36;1;3615;6;500,4;1
"id_2949929474911";36;1;3631;2;521,8;1
"id_2703927570371";36;1;3601;2;633,35;1
"id_7676976477684";36;1;3629;2;492,5;1
"id_2910929471084";13;1;1339;1;582,5;1
"id_7670976477023";13;1;1306;4;541,05;1
"id_4003940370355";13;1;1313;2;556;1
"id_2410924571083";35;1;3505;3;709;1
"id_2771927477110";29;1;2982;1;557,05;1
"id_7690976279023";30;1;3091;1;543,8;1
"id_5940959474067";37;1;3727;1;502,6;1
"id_4279942477900";37;1;3726;4;540;1
"id_1862918276241";36;1;3601;1;604,25;1
"id_2503925770313";13;1;1317;3;536,4;1
"id_4204942070478";17;1;1786;1;617,15;1
"id_1899918079966";32;1;3226;4;537,25;1
"id_1800918570062";32;1;3244;1;476,15;1
"id_4734947873499";32;1;3212;1;543,85;1
"id_4362943476231";17;1;1765;1;630,2;1
"id_4231942973117";33;1;3336;3;474,4;1
"id_2774927477494";12;1;1238;1;652,8;1
"id_2808928670823";15;1;1537;1;625,5;1
"id_2979929277934";12;1;1235;1;681,1;1
"id_7136971473667";13;1;1314;3;635,6;1
"id_2104921270473";12;1;1203;2;688;1
"id_4203942770339";14;1;1410;2;586,4;1
"id_2316923071614";35;1;3505;1;741,7;1
"id_4604946770490";12;1;1221;1;693,45;1
"id_2131921373144";13;1;1342;2;647,5;1
"id_4669946376910";14;1;1431;2;640,45;1
"id_2790927579096";21;1;2142;5;604,3;1
"id_4815948671534";11;1;1122;1;659,4;1
"id_5288952578847";25;1;2541;9;565,1;2
"id_2807928670795";11;1;1111;1;627,35;1
"id_2922929672233";11;1;1104;1;640,16;1
"id_8619986671981";36;1;3614;1;475,8;1
"id_9972999277253";11;1;1145;1;727,4;1
"id_2999929679903";11;1;1121;3;622,95;1
"id_2800928670040";15;1;1592;3;526;1
"id_2556925975658";11;1;1142;2;699,8;1
"id_2973929377395";25;1;2566;1;708,5;1
"id_2588925978833";11;1;1104;1;673,44;1
"id_2180921378047";20;1;2066;4;571,05;1
"id_1116911471634";11;1;1169;1;692,2;1
"id_2175921377592";11;1;1172;1;680,1;1
"id_7086970778641";16;1;1635;1;655,45;1
"id_4619946271926";17;1;1733;4;550,8;1
"id_2212922471231";17;1;1729;1;606,5;1
"id_1368913176800";11;1;1124;1;671,7;1
"id_2803928970365";11;1;1132;1;664;1
"id_4164941476404";12;1;1224;1;631,6;1
"id_2181921078109";11;1;1105;1;662,25;1
"id_2126921572655";20;1;2006;5;594,4;1
"id_2882928578282";12;1;1203;3;690,95;1
"id_5609956870905";23;1;2307;3;483,55;1
"id_2591925179133";23;1;2354;1;463,7;1
"id_7172971977249";18;1;1839;9;556,7;2
"id_2116921371661";15;1;1525;1;616,7;1
"id_2438924473859";11;1;1116;2;672;1
"id_4050940175081";11;1;1183;1;796,35;1
"id_2426924472644";19;1;1928;1;684,2;1
"id_4202942270222";20;1;2066;6;569,65;1
"id_1993919579384";17;1;1700;1;529,7;1
"id_2854928775484";34;1;3463;3;641,92;1
"id_4734947773454";11;1;1132;2;734,3;3
"id_4151941875188";13;1;1396;1;477;1
"id_2131921273192";22;1;2265;1;478,3;1
"id_2130921273056";22;1;2252;2;608,85;1
"id_4227942672745";22;1;2205;1;544,15;1
"id_2971929177199";22;1;2227;1;611,9;1
"id_2126921272647";22;1;2221;1;571,7;1
"id_2140921274056";22;1;2221;1;621,3;1
"id_2981929178123";22;1;2205;2;492,65;1
"id_2100921270047";22;1;2253;1;665,3;1
"id_2167921276768";22;1;2221;1;670,4;1
"id_2161921276143";22;1;2217;1;589,5;1
"id_2123921272300";22;1;2221;1;651,8;1
"id_2137921273778";23;1;2323;1;531,8;1
"id_4366943876638";22;1;2207;1;531,2;1
"id_2418924371898";22;1;2264;3;494,1;1
"id_2107921270749";22;1;2226;2;590;1
"id_2164921276444";22;1;2226;1;614,2;1
"id_2548925574816";23;1;2325;1;540,8;1
"id_2168921276836";22;1;2207;9;516,35;2
"id_2126921272640";22;1;2220;1;557,85;1
"id_2515925171557";22;1;2220;1;659;1
"id_2123921272393";22;1;2221;1;560,8;1
"id_2526925572692";22;1;2206;1;491,6;1
"id_2162921276289";13;1;1368;2;654,25;1
"id_2126921272689";18;1;1840;1;582,5;1
"id_1954919875454";23;1;2315;1;679,65;1
"id_2161921276157";18;1;1853;1;525,6;1
"id_2151921175115";22;1;2266;2;577,65;1
"id_2520925572031";22;1;2270;1;598,35;1
"id_2364923276456";22;1;2270;1;575,35;1
"id_4600946170053";22;1;2217;1;668,4;1
"id_2125921272555";18;1;1862;1;625,6;1
"id_2196921879602";22;1;2207;1;547,2;1
"id_4631946173100";16;1;1666;1;644,35;1
"id_2113921571378";22;1;2221;1;532,3;1
"id_2136921273685";22;1;2227;1;555,7;1
"id_2125921272557";24;1;2411;1;620,4;1
"id_2549925574905";22;1;2217;1;519,1;1
"id_2127921272732";18;1;1862;1;630;1
"id_7269972776986";22;1;2221;1;487,9;1
"id_2169921876947";22;1;2207;1;512,5;1
"id_2122921272296";22;1;2226;1;635,55;1
"id_2529925572933";22;1;2295;1;492,8;1
"id_2522925572237";22;1;2261;2;455,7;1
"id_2107921270740";22;1;2270;1;607,95;1
"id_2127921272738";22;1;2252;1;575,6;1
"id_2101921270133";22;1;2221;1;574,7;1
"id_2540925574002";15;1;1571;3;712,05;1
"id_1911919871178";22;1;2217;1;540,3;1
"id_2525925572598";22;1;2227;2;476,1;1
"id_2721927472151";22;1;2270;1;507,7;1
"id_2127921272721";22;1;2252;3;589,15;1
"id_2576925577628";22;1;2225;1;482,6;1
"id_2131921273117";22;1;2205;9;629,5;2
"id_2127921272789";22;1;2254;1;612,3;1
"id_2125921272534";22;1;2221;1;553,6;1
"id_2123921272314";22;1;2207;1;519,5;1
"id_2100921270029";22;1;2205;1;559,65;1
"id_4244942674450";19;1;1926;2;546,2;1
"id_2100921270097";22;1;2221;1;561,7;1
"id_2771927577145";22;1;2207;1;489,6;1
"id_2136921773665";11;1;1183;1;771,45;1
"id_2537925573762";22;1;2252;9;535,1;2
"id_4631946173189";22;1;2240;1;574,9;1
"id_4245942674572";22;1;2221;1;528,2;1
"id_4227942672797";22;1;2207;9;483,7;2
"id_2107921270721";22;1;2263;1;516,3;1
"id_2526925572666";22;1;2264;2;494,05;1
"id_2109921270979";22;1;2221;1;685,3;1
"id_2538925573849";22;1;2265;1;508,9;1
"id_4106941370652";22;1;2270;1;529,65;1
"id_2164921276468";22;1;2221;1;529;1
"id_2548925574839";22;1;2265;9;467,6;2
"id_0588905178824";22;1;2240;2;565,4;1
"id_4251942675106";22;1;2227;1;496,05;1
"id_4660946376021";22;1;2220;3;555,55;1
"id_2138921273866";22;1;2221;1;535,1;1
"id_4848948874823";22;1;2226;9;568,5;2
"id_2168921276878";22;1;2217;1;551,8;1
"id_2519925571923";22;1;2220;9;625;2
"id_2137921273771";22;1;2261;1;475;1
"id_2512925671263";22;1;2261;1;506,7;1
"id_2169921276910";22;1;2252;1;603,6;1
"id_4878948977877";22;1;2265;1;524,3;1
"id_4248942674806";22;1;2206;9;621,2;2
"id_2109921270988";22;1;2217;1;537,2;1
"id_2146921274674";22;1;2217;1;617,6;1
"id_2446924074650";22;1;2221;1;587;1
"id_7262972776279";22;1;2217;1;618,1;1
"id_1290912479075";22;1;2205;1;479,75;1
"id_2543925574344";22;1;2207;1;521,9;1
"id_2109921270908";22;1;2226;9;577,3;2
"id_2541925574173";22;1;2225;1;544,65;1
"id_4669946376993";22;1;2217;2;493,7;1
"id_2168921476825";22;1;2254;1;634,7;1
"id_2139921273928";22;1;2221;2;533,7;1
"id_2122921272248";22;1;2206;1;497,4;1
"id_2126921272625";22;1;2221;1;590;1
"id_2196921179618";13;1;1323;1;637,15;1
"id_2163921276389";22;1;2226;9;539,45;2
"id_2512925571266";22;1;2270;5;530,85;1
"id_2446924274642";22;1;2263;1;500,5;1
"id_2451924675168";22;1;2230;2;583,25;1
"id_4808948870818";22;1;2252;9;540,15;2
"id_2164921276443";22;1;2253;1;643,25;1
"id_4681946078164";22;1;2261;1;461,7;1
"id_2127921272785";22;1;2252;1;633,05;1
"id_5632956773239";22;1;2217;1;566,5;1
"id_2168921276827";22;1;2253;1;630,55;1
