"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_0254042894";11;1;1183;1;773,44;1
"id_3320933572002";30;1;3064;1;688,6;1
"id_4498944879820";24;1;2445;1;509,8;1
"id_3762937976203";21;1;2139;1;615,1;1
"id_3659936175981";11;1;1155;1;717,8;1
"id_2635926273533";17;1;1711;2;552,2;1
"id_3612936671201";18;1;1860;1;613,2;1
"id_0964909176492";15;1;1560;1;541,15;1
"id_3999939479902";35;1;3505;3;724,5;1
"id_2045920874541";17;1;1710;2;507,5;1
"id_364303675436";19;1;1985;2;589,9;1
"id_3469934676933";18;1;1867;2;630,8;1
"id_3350933175046";15;1;1503;5;645,45;1
"id_3299932579903";25;1;2564;1;601,85;1
"id_3063930576390";18;1;1867;4;556;1
"id_3569935676928";12;1;1259;1;740,38;1
"id_3485934778502";24;1;2438;2;490,7;1
"id_2624926572413";24;1;2449;5;518,2;1
"id_3384933878410";12;1;1228;3;673,7;1
"id_3127931372769";26;1;2696;4;573,2;1
"id_3792937679269";23;1;2368;3;600,8;1
"id_2892928379230";17;1;1740;1;516,05;3
"id_8908989570815";16;1;1636;2;637,5;1
"id_3038930273861";24;1;2453;1;499,7;1
"id_2862928376206";14;1;1411;2;581;1
"id_7194971679431";37;1;3718;1;537,65;1
"id_3281932378198";15;1;1503;4;648,7;1
"id_2638926773889";12;1;1228;3;680,9;1
"id_3669936976982";11;1;1178;2;681,6;1
"id_3034930273480";24;1;2438;1;514,2;1
"id_3386933678610";14;1;1439;3;619,65;1
"id_3059930875939";30;1;3079;2;559,3;1
"id_3094930779433";18;1;1857;1;515;1
"id_3839938573990";11;1;1155;1;700,5;1
"id_3432934273298";14;1;1460;5;604,5;1
"id_3293932879365";12;1;1227;3;719,9;1
"id_3748937274853";37;1;3704;2;528,55;1
"id_2413924371343";12;1;1246;1;663,4;1
"id_2641926174104";16;1;1650;1;628,1;1
"id_2669926376955";19;2;1924;1;533,55;4
"id_3374933777475";26;1;2655;2;587,6;1
"id_3390933879059";12;1;1224;1;693,2;1
"id_3623936772331";24;1;2464;1;467,7;1
"id_3101931770100";24;1;2445;2;516,8;1
"id_3396933879641";18;1;1866;1;540,5;1
"id_3545935574511";37;1;3701;3;483,25;1
"id_3151931875152";15;1;1571;2;659,05;1
"id_2654926475478";37;1;3724;3;482,25;1
"id_3759937975925";16;2;1605;1;631;4
"id_3119931871974";11;1;1111;1;614,35;1
"id_2466924676691";29;1;2932;4;576,6;1
"id_3111931071119";11;1;1116;1;642,55;1
"id_3878938177816";13;1;1320;5;583,7;1
"id_3316933771629";24;1;2445;1;501,8;1
"id_3316933771662";24;1;2445;2;514;1
"id_3272932377238";11;1;1155;1;736,4;1
"id_3272932377239";16;1;1635;1;681,55;1
"id_2611926271172";15;1;1575;1;711,25;1
"id_3202932570249";18;1;1856;1;502,2;1
"id_2620926272078";37;1;3729;4;514,65;1
"id_4685946078571";22;1;2275;1;528,2;1
"id_2687926378725";19;1;1968;1;590,5;1
"id_5885958778563";25;1;2515;1;620,4;1
"id_0859908575920";12;1;1228;1;696,4;1
"id_3744937974429";11;1;1155;1;741,25;1
"id_3319933571983";18;1;1860;1;604,1;1
"id_2754927875486";26;1;2600;1;544,3;1
"id_3378933877899";12;1;1226;1;712;1
"id_3132931873275";14;1;1440;3;653,9;1
"id_3394933479464";19;1;1985;4;560,5;1
"id_3707937170778";29;1;2932;1;566;1
"id_3617936371702";18;1;1871;5;518,1;1
"id_3841938474106";27;1;2738;9;470,75;2
"id_2291922779120";30;1;3074;1;595,8;1
"id_3101931870165";12;1;1205;1;698,65;1
"id_3411934671131";24;1;2438;3;471,4;1
"id_3708937970856";37;1;3711;1;534,2;1
"id_0961909876197";29;1;2928;3;579,6;1
"id_3947939674796";27;1;2737;3;478,4;1
