"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_6341663";23;1;23013;1;557,95;1;1
"id_409644093";41;1;41045;3;538,9;1;1
"id_4973449077";11;1;11042;2;715,1;1;1
"id_5719547761";18;1;18055;3;553,57;1;1
"id_1819148128";11;1;11001;1;641,14;1;1
"id_1149141249";21;1;21024;2;519,55;1;1
"id_261322675137";19;1;19027;3;507,25;2;1
"id_955939571595";17;1;17084;1;660,1;1;1
"id_7835748313";12;1;12017;1;726,4;1;1
"id_143331474334";41;1;41116;1;608;1;1
"id_673836776385";23;1;23059;1;596,65;1;1
"id_766607676663";11;1;11028;1;639,2;1;1
"id_110901173091";45;1;45029;1;586,55;1;1
"id_7900749285";16;1;16046;1;581,36;1;1
"id_687806870783";32;1;32034;1;639,5;1;1
"id_622106271218";45;1;45008;1;640,9;1;1
"id_603106077315";38;1;38162;1;606,5;1;1
"id_887868870783";14;1;14033;1;634,45;1;1
"id_504065072408";45;1;45029;1;666,85;1;1
"id_790167979015";37;1;37011;1;503;2;1
"id_757867576788";36;1;36001;3;614,95;1;1
"id_742767476279";34;1;34052;1;639;1;1
"id_703767071374";39;1;39124;1;525,1;1;1
"id_119261179920";16;1;16051;1;708,7;1;1
"id_121061270104";41;1;41117;1;524,2;1;1
"id_491764971175";41;1;41086;1;695,05;1;1
"id_221562273150";11;1;11001;1;650,6;2;1
"id_262562672259";30;1;30039;1;575,75;1;1
"id_399763977970";19;1;19077;1;596;1;1
"id_346663479663";34;1;34054;1;605,35;1;1
"id_324863273485";16;1;16060;5;646,3;2;1
"id_031260371121";13;1;13024;3;661,15;2;1
"id_648266478824";33;1;33032;1;527,3;1;1
"id_638766377875";16;1;16043;1;643,9;1;1
"id_605166079513";38;1;38004;1;647,1;1;1
"id_660866675089";20;1;20071;11;603,5;1;2
"id_664866673487";36;1;36001;2;617,9;1;1
"id_8852988975227";26;1;26025;1;583,35;1;1
"id_8822988372230";20;1;20024;1;653,75;1;1
"id_8948989974863";27;1;27009;2;530,8;1;1
"id_94989146910";11;1;11055;1;725,7;2;1
"id_8997989479738";26;1;26059;1;661,35;1;1
"id_8905989270563";16;1;16036;1;637,3;1;1
